ID;ingatlan_erteke;eletkor;egyedul;tobben;jovedelem;meglevo_torleszto;folyoszamla;kedvezmeny_jovairas;jovairas;kedvezmeny_babavarom;kedvezmeny_biztositasm;;;;;;;;;;;;;
e01;5000000;17;;;500001;;;;;;;;;;;;;;;;;;;
e02;5000000;66;;;500002;;;;;;;;;;;;;;;;;;;
e03;4999999;18;;;500003;;;;;;;;;;;;;;;;;;;
e04;5000000;18;x;;174999;;;;;;;;;;;;;;;;;;;
e05;5000000;18;;x;259999;;;;;;;;;;;;;;;;;;;
e06;50000000;30;;;1000001;;;;;;;;;;;;;;;;;;;
e07;100000000;30;;;1000002;;;;;;;;;;;;;;;;;;;
e08;50000000;30;;;1000003;300000;;;;;;;az;oldalon;ez;nem;megengedett,;de;a;szabály;szerint;el;kellene;fogadni
e09;50000000;30;;;1000003;300000;200000;;;;;;;;;;;;;;;;;
//TODO: további esetek;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;499999;250000;;;;;;;;;;;;;;;;;;
;;;;;500000;299999;;;;;;;;;;;;;;;;;;
;5000000;18;;;175000;87500;;;;;;;;;;;;;;;;;;
;5000000;18;;;175001;87500;;;;;;;;;;;;;;;;;;
;asdASD,.-;;;;;;;;;;;;;;;;;;;;;;;
;;asdASD,.-;;;;;;;;;;;;;;;;;;;;;;
;;;;;asdASD,.-;;;;;;;;;;;;;;;;;;;
;1000000000000000;;;;;;;;;;;;;;;;;;;;;;;
;;;;;175000;;;;;;;;;;;;;;;;;;;
;;;;;260000;;;;;;;;;;;;;;;;;;;
;;;;;499999;249999;;;;;;;;;;;;;;;;;;
;;;;;500000;300000;;;;;;;;;;;;;;;;;;
